,national_number,gen,english_name,japanese_name,classification,primary_type,secondary_type,description,col_name,egg_group,color,habitat,shape
0,1,I,Bulbasaur,Fushigidane,Seed Pokémon,grass,poison,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,,plant,green,grassland,quadruped
1,2,I,Ivysaur,Fushigisou,Seed Pokémon,grass,poison,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",,plant,green,grassland,quadruped
2,3,I,Venusaur,Fushigibana,Seed Pokémon,grass,poison,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,,plant,green,grassland,quadruped
3,4,I,Charmander,Hitokage,Lizard Pokémon,fire,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",,dragon,red,mountain,upright
4,5,I,Charmeleon,Lizardo,Flame Pokémon,fire,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",,dragon,red,mountain,upright
5,6,I,Charizard,Lizardon,Flame Pokémon,fire,flying,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,,dragon,red,mountain,upright
6,7,I,Squirtle,Zenigame,Tiny Turtle Pokémon,water,,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",,water1,blue,waters-edge,upright
7,8,I,Wartortle,Kameil,Turtle Pokémon,water,,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",,water1,blue,waters-edge,upright
8,9,I,Blastoise,Kamex,Shellfish Pokémon,water,,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",,water1,blue,waters-edge,upright
9,10,I,Caterpie,Caterpie,Worm Pokémon,bug,,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",,bug,green,forest,armor
10,11,I,Metapod,Transel,Cocoon Pokémon,bug,,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",,bug,green,forest,squiggle
11,12,I,Butterfree,Butterfree,Butterfly Pokémon,bug,flying,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",,bug,white,forest,bug-wings
12,13,I,Weedle,Beedle,Hairy Pokémon,bug,poison,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,,bug,brown,forest,armor
13,14,I,Kakuna,Cocoon,Cocoon Pokémon,bug,poison,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",,bug,yellow,forest,squiggle
14,15,I,Beedrill,Spear,Poison Bee Pokémon,bug,poison,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,,bug,yellow,forest,bug-wings
15,16,I,Pidgey,Poppo,Tiny Bird Pokémon,normal,flying,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",,flying,brown,forest,wings
