type1,type2,predicted_type1,predicted_type2
Water,None,Water,Ground
Ghost,None,Ghost,Ghost
Grass,Ice,Grass,Ice
Rock,Ground,Rock,Ground
Psychic,None,Psychic,Flying
Electric,None,Electric,Electric
Electric,None,Normal,Flying
Ice,Bug,Ice,Flying
Ground,Rock,Rock,Ground
Dark,Grass,Dark,Ground
Psychic,Fairy,Bug,Flying
Flying,Dragon,Psychic,Flying
Normal,None,Normal,Dark
Fairy,None,Psychic,Flying
Electric,None,Electric,Dark
Fire,Dark,Fire,Fighting
Bug,Grass,Bug,Poison
Dark,Dragon,Ground,Ghost
Water,Ice,Water,Psychic
Fire,None,Fire,Flying
Normal,None,Normal,Flying
Dark,Fighting,Dark,Dark
Rock,Psychic,Ground,Steel
Normal,None,Normal,Flying
Water,None,Water,Ground
Bug,Electric,Bug,Electric
Normal,None,Normal,Dark
Normal,None,Grass,Dark
Poison,None,Poison,Ground
Normal,Flying,Normal,Flying
Dragon,Ground,Dragon,Ground
Electric,None,Electric,Poison
Water,Ghost,Water,Dark
Ground,Rock,Ground,Ground
Dragon,Psychic,Dragon,Flying
Water,Fighting,Water,Ground
Fire,None,Fire,Fighting
Water,Bug,Bug,Grass
Dark,Steel,Fighting,Ghost
Normal,Flying,Normal,Flying
Poison,None,Poison,Ground
Rock,Water,Rock,Water
Poison,None,Poison,Poison
Ice,Ground,Ice,Ground
Steel,Poison,Poison,Poison
Grass,Flying,Grass,Flying
Normal,None,Normal,Flying
Psychic,None,Psychic,Fairy
Bug,Steel,Bug,Psychic
Ground,None,Ground,Dark
Water,Bug,Water,Dragon
Psychic,None,Psychic,Psychic
Poison,Normal,Poison,Fighting
Water,None,Dragon,Fighting
Fire,None,Fire,Fighting
Normal,Flying,Normal,Flying
Normal,Psychic,Psychic,Psychic
Rock,None,Ground,Dark
Fighting,None,Fighting,Electric
Fairy,None,Fairy,Fairy
Normal,None,Normal,Flying
Dragon,Flying,Dragon,Flying
Water,None,Water,Ground
Grass,None,Grass,Poison
Grass,None,Grass,Poison
Dark,None,Normal,Flying
Steel,Rock,Steel,Rock
Bug,Electric,Bug,Electric
Bug,Ground,Bug,Poison
Ghost,Grass,Ghost,Grass
Psychic,Flying,Normal,Flying
Electric,Normal,Electric,Normal
Psychic,None,Psychic,Grass
Bug,Fighting,Bug,Fighting
Fighting,None,Psychic,Ghost
Water,Fighting,Water,Flying
Fighting,None,Flying,Flying
Dragon,None,Water,Ground
Fire,Flying,Fire,Flying
Rock,None,Rock,Ground
Electric,Fairy,Electric,Electric
Water,Ghost,Water,Rock
Fire,None,Fire,Flying
Fairy,Psychic,Normal,Dark
Normal,None,Dragon,Flying
Ice,Water,Ice,Water
Fire,None,Fire,Fighting
Water,None,Water,Flying
Bug,Poison,Bug,Poison
Steel,Poison,Rock,Poison
Ground,Flying,Poison,Flying
Grass,Poison,Grass,Poison
Grass,Steel,Fighting,Ghost
Grass,Poison,Grass,Grass
Grass,None,Grass,Flying
Grass,None,Normal,Flying
Bug,Flying,Bug,Flying
Steel,Dragon,Water,Dragon
Ghost,Poison,Poison,Poison
Water,Psychic,Water,Psychic
Fighting,Ice,Ice,Ice
Grass,Fighting,Grass,Ghost
Rock,None,Rock,Dragon
