type1,type2,predicted_type1,predicted_type2,binary_match_score,partial_match_score
Water,,Water,Psychic,0,0.5
Ghost,,Psychic,Fairy,0,0.0
Grass,Ice,Grass,Grass,0,0.5
Rock,Ground,Rock,Ground,1,1.0
Psychic,,Psychic,Psychic,0,0.5
Electric,,Electric,Fairy,0,0.5
Electric,,Normal,Flying,0,0.0
Ice,Bug,Bug,Flying,0,0.0
Ground,Rock,Rock,Ground,0,0.5
Dark,Grass,Grass,Ghost,0,0.0
Psychic,Fairy,Bug,Flying,0,0.0
Flying,Dragon,Psychic,Flying,0,0.0
Normal,,Normal,Flying,0,0.5
Fairy,,Psychic,Flying,0,0.0
Electric,,Electric,Electric,0,0.5
Fire,Dark,Fire,Fighting,0,0.5
Bug,Grass,Bug,Poison,0,0.5
Dark,Dragon,Dragon,Flying,0,0.0
Water,Ice,Water,Psychic,0,0.5
Fire,,Fire,Fire,0,0.5
Normal,,Normal,Flying,0,0.5
Dark,Fighting,Dark,Fighting,1,1.0
Rock,Psychic,Bug,Psychic,0,0.5
Normal,,Normal,Flying,0,0.5
Water,,Water,Flying,0,0.5
Bug,Electric,Bug,Electric,1,1.0
Normal,,Normal,Ground,0,0.5
Normal,,Grass,Poison,0,0.0
Poison,,Poison,Poison,0,0.5
Normal,Flying,Normal,Flying,1,1.0
Dragon,Ground,Dragon,Flying,0,0.5
Electric,,Electric,Steel,0,0.5
Water,Ghost,Water,Psychic,0,0.5
Ground,Rock,Ground,Rock,1,1.0
Dragon,Psychic,Dragon,Flying,0,0.5
Water,Fighting,Water,Fighting,1,1.0
Fire,,Fire,Fighting,0,0.5
Water,Bug,Bug,Poison,0,0.0
Dark,Steel,Fighting,Ghost,0,0.0
Normal,Flying,Normal,Flying,1,1.0
Poison,,Poison,Ground,0,0.5
Rock,Water,Rock,Water,1,1.0
Poison,,Poison,Poison,0,0.5
Ice,Ground,Ice,Ice,0,0.5
Steel,Poison,Steel,Fire,0,0.5
Grass,Flying,Grass,Flying,1,1.0
Normal,,Normal,Grass,0,0.5
Psychic,,Psychic,Fairy,0,0.5
Bug,Steel,Bug,Steel,1,1.0
Ground,,Ground,Ground,0,0.5
Water,Bug,Water,Fairy,0,0.5
Psychic,,Psychic,Psychic,0,0.5
Poison,Normal,Poison,Fighting,0,0.5
Water,,Dragon,Flying,0,0.0
Fire,,Fire,Fire,0,0.5
Normal,Flying,Normal,Flying,1,1.0
Normal,Psychic,Psychic,Psychic,0,0.5
Rock,,Ground,Rock,0,0.5
Fighting,,Fighting,Fighting,0,0.5
Fairy,,Fairy,Fairy,0,0.5
Normal,,Normal,Flying,0,0.5
Dragon,Flying,Dragon,Flying,1,1.0
Water,,Water,Ground,0,0.5
Grass,,Grass,Poison,0,0.5
Grass,,Grass,Poison,0,0.5
Dark,,Normal,Flying,0,0.0
Steel,Rock,Steel,Rock,1,1.0
Bug,Electric,Bug,Electric,1,1.0
Bug,Ground,Bug,Poison,0,0.5
Ghost,Grass,Ghost,Grass,1,1.0
Psychic,Flying,Dark,Flying,0,0.5
Electric,Normal,Electric,Electric,0,0.5
Psychic,,Psychic,Fairy,0,0.5
Bug,Fighting,Bug,Fighting,1,1.0
Fighting,,Fighting,Psychic,0,0.5
Water,Fighting,Water,Flying,0,0.5
Fighting,,Flying,Flying,0,0.0
Dragon,,Water,Ground,0,0.0
Fire,Flying,Fire,Flying,1,1.0
Rock,,Rock,Water,0,0.5
Electric,Fairy,Electric,Electric,0,0.5
Water,Ghost,Water,Psychic,0,0.5
Fire,,Fire,Fighting,0,0.5
Fairy,Psychic,Psychic,Fairy,0,0.5
Normal,,Dragon,Flying,0,0.0
Ice,Water,Dragon,Ice,0,0.0
Fire,,Fire,Fighting,0,0.5
Water,,Water,Psychic,0,0.5
Bug,Poison,Bug,Poison,1,1.0
Steel,Poison,Rock,Dragon,0,0.0
Ground,Flying,Poison,Ground,0,0.0
Grass,Poison,Grass,Poison,1,1.0
Grass,Steel,Fire,Ghost,0,0.0
Grass,Poison,Grass,Grass,0,0.5
Grass,,Grass,Grass,0,0.5
Grass,,Normal,Flying,0,0.0
Bug,Flying,Bug,Flying,1,1.0
Steel,Dragon,Water,Dragon,0,0.5
Ghost,Poison,Poison,Poison,0,0.5
Water,Psychic,Water,Psychic,1,1.0
Fighting,Ice,Ice,Ice,0,0.5
Grass,Fighting,Grass,Ghost,0,0.5
Rock,,Rock,Dragon,0,0.5
