name,ndex,category,bio,type1,type2
Machamp,0068,Superpower,"In close combat, its four arms afford it offensive and defensive
supremacy. In but a blink, this valiant Pokémon can overwhelm
its foes with more than 1,000 blows from its fists.",Fighting,
Beldum,0374,Iron Ball,"The cells in this Pokémon’s body are composed
of magnetic material. Instead of blood, magnetic
forces flow through [NAME]’s body.",Steel,Psychic
Flamigo,0973,Synchronize,"Thanks to a behavior of theirs known as “synchronizing,” an entire flock of these Pokémon can attack simultaneously in perfect harmony.",Flying,Fighting
Manaphy,0490,Seafaring,"Rumored to migrate across the oceans and visit Hisui's coastal
waters only rarely. Although [NAME] resembles Phione, it is
also quite different. The relation between the two is unclear.",Water,
Mudsdale,0750,Draft Horse,"[NAME] has so much stamina that it could carry
over 10 tons across the Galar region without rest
or sleep.",Ground,
Seedot,0273,Acorn,"It attaches itself to a tree branch using the top of
its head. Strong winds can sometimes make it fall.",Grass,
Mantine,0226,Kite,"This calm and gentle Pokémon swims gracefully through the sea.
After building speed, it can leap out of the water. It is often
misidentified as a bird Pokémon due to this behavior.",Water,Flying
Jirachi,0385,Wish,"It’s believed that when this Pokémon wakes from
its 1,000-year slumber, it will grant any wishes
written on the notes attached to its head.",Steel,Psychic
Rotom,0479,Plasma,"This bizarre Pokémon appears to be a will-o'-the-wisp powered
by electricity. Be wary, as [NAME] is both smart and mischievous.",Electric,Ghost
Latias,0380,Eon,"[NAME] is highly intelligent and capable of understanding
human speech. It is covered with a glass-like down.
The Pokémon enfolds its body with its down and refracts
light to alter its appearance.",Dragon,Psychic
Snover,0459,Frost Tree,"One is likely to encounter this Pokémon while out in the snow.
There are stories of [NAME] appearing in human settlements but
doing no harm—rather, they bond with the children.",Grass,Ice
Phantump,0708,Stump,"With a voice like a human child’s, it cries out to
lure adults deep into the forest, getting them lost
among the trees.",Ghost,Grass
Dolliv,0929,Olive,"It basks in the sun to its heart’s content until the fruits on its head ripen. After that, [NAME] departs from human settlements and goes on a journey.",Grass,Normal
Toedscool,0948,Woodear,"Though it looks like Tentacool, [NAME] is a completely different species. Its legs may be thin, but it can run at a speed of 30 mph.",Ground,Grass
Nincada,0290,Trainee,"It can sometimes live underground for more than
10 years. It absorbs nutrients from the roots
of trees.",Bug,Ground
Wartortle,0008,Turtle,"It cleverly controls its furry ears and tail to
maintain its balance while swimming.",Water,
Clefairy,0035,Fairy,"It can be found in quiet mountain areas on a full moon's night.
Its dancing and its tiny, faintly glowing wings confer upon it a
lovely fairylike quality.",Fairy,
Quilava,0156,Volcano,"This creature's fur is most mysterious—it is wholly impervious to
the burning touch of flame. Should [NAME] turn its back to you,
take heed! Such a posture indicates a forthcoming attack.",Fire,
Suicune,,Aurora,"==Biology==
[NAME] is a slim, quadrupedal, blue, mammalian Pokémon with white, diamond-shaped markings. Its face and underside are white as well. [NAME] has a thick, purple mane that resembles the aurora borealis and two white, streamer-like tails that wave forward. It has a long, white snout. [NAME] has a large, hexagonal, cerulean blue crest on its forehead with two prongs on either side of the base. It has red eyes, a small tuft of fur under its chin, and small paws with white paw pads.

150 years ago, Brass Tower in Johto was hit by a lightning bolt, causing it to catch on a huge fire and would be later put out by a sudden downpour. Three unnamed Pokémon perished in the fire, however, the Legendary Pokémon Ho-Oh granted the trio new life, one of those Pokémon was revived as [NAME], which represents the rain that put out the fire on the now Burned Tower.

[NAME] has the power to walk across water and purify dirty water with one touch. It travels across grasslands in search of water to purify by following the north wind. Northern winds always seem to blow stronger in its presence. In Crystal, [NAME] is said to be the closest of the Legendary beasts to Ho-Oh and shares a cooperative bond with the Unown. [NAME]'s personality is said to be heroic, serious, and calm during dangerous situations, as depicted in ''Drifloon On the Wind!''. [NAME] is believed to be both the embodiment of the north winds and compassion of pure spring waters. [NAME] loves [NAME] Treats made by Snacksworth, who once encountered and rode with it in the past. Walking Wake shares a resemblance to [NAME] and is believed to be its ancient ancestor.

As mentioned in Pokémon Sleep, [NAME] can be observed sleeping deeply in locations where the water is clean. When [NAME] awakens, it will start racing around the world once more, following the north wind to purify fouled water. [NAME] is known to enjoy eating [NAME] Biscuits. [NAME] can be lured over to a sleeping spot using the [NAME] Incense. [NAME] has three different sleep styles it sleeps in, they are called ''Energy-Storing Sleep'', ''Meditative Sleep'', and ''Northern-Wind Sleep''.",Water,
Oddish,0043,Weed,"During the day, it stays in the cold underground
to avoid the sun. It grows by bathing in moonlight.",Grass,Poison
Kirlia,0281,Emotion,"It resembles a maiden in appearance, but it wields strange
powers to project visions of paradise. I suspect the crimson
ornaments on its head are the key to its abilities.",Psychic,Fairy
Wigglytuff,0040,Balloon,"It’s proud of its fur, which is fine and delicate.
In particular, the curl on its forehead has a
texture that’s perfectly heavenly.",Normal,Fairy
Tornadus,0641,Cyclone,"This storm-stirring Pokémon is said to cause the seasons to
turn by whipping up the air. I suspect its humanlike form to be
a false one.",Flying,
Pancham,0674,Playful,"Wanting to make sure it’s taken seriously,
[NAME]’s always giving others a glare.
But if it’s not focusing, it ends up smiling.",Fighting,
Crustle,0558,Stone Home,"Its thick claws are its greatest weapons.
They’re mighty enough to crack
Rhyperior’s carapace.",Bug,Rock
Lickitung,0108,Licking,"Wields its long tongue deftly, as though it were an arm.
The Pokémon's viscous saliva, once it has been collected and
boiled down, yields a strong and highly useful adhesive.",Normal,
Pawmi,0921,Mouse,The pads of its paws are electricity-discharging organs. [NAME] fires electricity from its forepaws while standing unsteadily on its hind legs.,Electric,
Tynamo,0602,EleFish,"One alone can emit only a trickle of electricity,
so a group of them gathers to unleash a powerful
electric shock.",Electric,
Grimmsnarl,0861,Bulk Up,"Its hairs work like muscle fibers. When its hairs
unfurl, they latch on to opponents, ensnaring
them as tentacles would.",Dark,Fairy
Solrock,0338,Meteorite,"Solar energy is the source of its power, so it is
strong during the daytime. When it spins, its
body shines.",Rock,Psychic
Carracosta,0565,Prototurtle,"This Pokémon emerges from the water in search
of prey despite the fact that it moves more
slowly on land.",Water,Rock
Salamence,0373,Dragon,"While basking in the joy of flight generally keeps
this Pokémon in high spirits, [NAME] turns into
an uncontrollable menace if something angers it.",Dragon,Flying
Musharna,0518,Drowsing,"It drowses and dreams all the time. It’s best to
leave it be if it’s just woken up, as it’s a terrible
grump when freshly roused from sleep.",Psychic,
Beartic,,Freezing,"==Biology==
[NAME] is an ursine, quadrupedal Pokémon capable of standing on its hind legs. It has bluish-white fur with a shaggy tuft at its rear. Its head has a stumpy protuberance on top, and its face consists of a long snout, beady black eyes, and rounded ears. Ice covers the lower part of its snout and around its mouth. Three spikes of ice hang from its lower jaw, forming a beard. Its large forepaws have black claws and paw pads.

[NAME] is capable of freezing its own breath, and will create pathways across oceans using this technique. Should it get tired while swimming, [NAME] will also use its breath to freeze the water it is swimming in so that it can lay down and rest. Its ice breath can create fangs and claws of ice, the former being harder than steel. It inhabits northern areas where it catches prey in the cold waters. Once it captures its prey, it freezes them with its breath to preserve. It has a ferocious temperament, which has earned it the ""Snow-White Demon"" moniker. In Lental, it fights with Mamoswine for territory. Despite its otherwise fierce demeanor, [NAME] is known to be protective around Cubchoo.",Ice,
Basculin,0550,{{tt|Hostile|Red-Striped/Blue-Striped Basculin}},"Though it differs from other [NAME] in several respects,
including demeanor—this one is gentle—I have categorized
it as a regional form given the vast array of shared qualities.",Water,
Victini,0494,Victory,"When it shares the infinite energy it creates,
that being’s entire body will be overflowing
with power.",Psychic,Fire
Electivire,0466,Thunderbolt,"Its evolution was induced by an unusual item, and its electrical
output rises along with its heart rate. From its tails, it can
unleash an electric current measuring 20,000 volts.",Electric,
Raging Bolt,1021,Paradox,It bears resemblance to a Pokémon that became a hot topic for a short while after a paranormal magazine touted it as Raikou's ancestor.,Electric,Dragon
Numel,0322,Numb,"[NAME] stores magma of almost 2,200 degrees Fahrenheit
within its body. If it gets wet, the magma cools and hardens.
In that event, the Pokémon’s body grows heavy and its
movements become sluggish.",Fire,Ground
